event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;image
Köln Marathon;Running;04.10.2026;Köln;Germany;L111, 50679 Köln;50.940133;6.974559;Marathon;Generali Köln Marathon;https://generali-koeln-marathon.de/anmeldung/;Google Suche;image
BMW Berlin Marathon;Running;27.09.2026;Berlin;Germany;Berlin, Germany;52.5173885;13.3951309;42 km;Imported from marathon.de running calendar. Source listing: https://www.marathon.de/laufevent/berlin-marathon/;https://www.bmw-berlin-marathon.com/;marathon.de;https://www.marathon.de/logos/berlin-marathon.jpg
Köln Triathlon;Triathlon;06.09.2026;Köln;Germany;Rheinparkweg 1, 50679 Köln;50.9458861;6.9704153;Sprint, Olympic, Middle;Köln Triathlon;https://www.koeln-triathlon.com/;Google Suche;
Ironman Hamburg;Triathlon;07.06.2026;Hamburg;Germany;Jungfernstieg 53, 20354 Hamburg;53.553482;9.992181;Full;IRONMAN Hamburg European Championship;https://www.ironman.com/races/im-hamburg;Google Suche;
Sörmlands 100;Ultramarathon;12.11.2026;Nykoping;Sweden;Öster-Malma, 611 91 Björnlunda, Sweden;58.953481;17.155667;100 km;Sörmlands 100km Trail Ultra;https://www.sormlands100.com/;Google Suche;
Münster Marathon;Running;13.09.2026;Münster;Germany;Schlosspl. 2, 48149 Münster;51.963572;7.616127;Marathon;Volksbank Münster Marathon;https://www.volksbank-muenster-marathon.de/_rubric/index.php?rubric=Home%20DE;Google Suche;
Hamburg Marathon;Running;25.04.2027;Hamburg;Germany;Hamburg, Germany;53.5501721;10.0013165;21 km / 42 km;Imported from marathon.de running calendar. Source listing: https://www.marathon.de/laufevent/hamburg-marathon/;https://haspa-marathon-hamburg.de/;marathon.de;https://www.marathon.de/logos/hamburg-marathon.jpg
Frankfurt Marathon;Running;25.10.2026;Frankfurt am Main;Germany;Frankfurt am Main, Germany;50.1106444;8.6820917;42 km;Imported from marathon.de running calendar. Source listing: https://www.marathon.de/laufevent/frankfurt-marathon/;https://www.frankfurt-marathon.com/;marathon.de;https://www.marathon.de/logos/frankfurt-marathon.jpg
München Marathon;Running;11.10.2026;München;Germany;Spiridon-Louis-Ring 21, 80809 München;48.171222;11.546133;Marathon;GENERALI München Marathon;https://www.generalimuenchenmarathon.de;Chat-GPT Daten;
Düsseldorf Marathon;Running;26.04.2026;Düsseldorf;Germany;Joseph-Beuys-Ufer, 40479 Düsseldorf;51.233334;6.772222;Marathon;Düsseldorf Marathon;https://www.duesseldorfmarathon.de;Chat-GPT Daten;
Hannover Marathon;Running;19.04.2026;Hannover;Germany;Friedrichswall 1, 30159 Hannover;52.367593;9.733222;Marathon;ADAC Marathon Hannover;https://www.marathon-hannover.de;Chat-GPT Daten;
Leipzig Marathon;Running;19.04.2026;Leipzig;Germany;Am Sportforum 2, 04105 Leipzig;51.345556;12.348056;Marathon;Leipzig Marathon;https://leipzigmarathon.de/;Chat-GPT Daten;
Bonn Marathon;Running;19.04.2026;Bonn;Germany;Rathenauufer, 53113 Bonn;50.73743;7.098207;Marathon;Deutsche Post Marathon Bonn;https://www.deutschepostmarathonbonn.de/;Chat-GPT Daten;
Freiburg Marathon;Running;12.04.2026;Freiburg;Germany;Messe Freiburg, 79108 Freiburg;47.997791;7.842609;Marathon;MEIN FREIBURG MARATHON;https://www.mein-freiburgmarathon.de;Chat-GPT Daten;
Dresden Marathon;Running;25.10.2026;Dresden;Germany;Ostra-Ufer 2, 01067 Dresden;51.054732;13.726249;Marathon;Dresden Marathon;https://www.dresden-marathon.com;Chat-GPT Daten;
Bremen Marathon;Running;04.10.2026;Bremen;Germany;Bürgerweide, 28209 Bremen;53.081944;8.813889;Marathon;swb Marathon Bremen;https://www.swb-marathon.de;Chat-GPT Daten;
Regensburg Marathon;Running;17.05.2026;Regensburg;Germany;D.-Martin-Luther-Straße 2, 93047 Regensburg;49.013432;12.101624;Marathon;Regensburg Marathon;https://www.regensburg-marathon.de;Chat-GPT Daten;
Ulm Marathon;Running;27.09.2026;Ulm;Germany;Münsterplatz, 89073 Ulm;48.39841;9.99155;Marathon;Einstein Marathon Ulm;https://www.einsteinmarathon.de;Chat-GPT Daten;
Kiel Marathon;Running;01.03.2026;Kiel;Germany;Kiellinie 70, 24105 Kiel;54.338253;10.145374;Marathon;Kiel Marathon;https://www.kiel-marathon.de;Chat-GPT Daten;
Ruhr Marathon;Running;10.05.2026;Gelsenkirchen;Germany;Parkallee 1, 45891 Gelsenkirchen;51.554722;7.067222;Marathon;Vivawest-Marathon Ruhr;https://www.vivawest-marathon.de;Chat-GPT Daten;
Potsdam Lauf;Running;07.06.2026;Potsdam;Germany;Luisenplatz, 14471 Potsdam;52.398861;13.048861;Half Marathon;Potsdamer Schlösserlauf Halbmarathon;https://www.schlösserlauf.de;Chat-GPT Daten;
Halbmarathon Berlin;Running;29.03.2026;Berlin;Germany;Karl-Marx-Allee, 10178 Berlin;52.521918;13.413215;Half Marathon;Generali Berliner Halbmarathon;https://www.generali-berliner-halbmarathon.de;Chat-GPT Daten;
Hamburg Halbmarathon;Running;28.06.2026;Hamburg;Germany;Reeperbahn, 20359 Hamburg;53.550278;9.966111;Half Marathon;Hella Halbmarathon Hamburg;https://www.hella-hamburg-halbmarathon.de;Chat-GPT Daten;
Köln Halbmarathon;Running;04.10.2026;Köln;Germany;Ottoplatz, 50679 Köln;50.942278;6.958281;Half Marathon;Generali Köln Halbmarathon;https://www.koeln-marathon.de;Chat-GPT Daten;
Stuttgart Lauf;Running;21.06.2026;Stuttgart;Germany;Mercedesstraße 87, 70372 Stuttgart;48.792222;9.232778;Half Marathon;Stuttgart-Lauf Halbmarathon;https://www.stuttgart-lauf.de;Chat-GPT Daten;
