event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;source_url;verification_status;priority;check_frequency;last_checked;next_check;source_note;image
Ironman 70.3 Calgary T2H 2L9 Calgary 21,1 km;Running;26.07.2026;CA T2H 2L9 Calgary;Germany;CA T2H 2L9 Calgary;;;Half Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.ironman.com/races/im703-calgary;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/ironman-70-3-calgary/;https://www.runnersworld.de/laufkalender/ironman-70-3-calgary/;unclear;;;2026-06-17;;;
Rock the Race Cross-Hindernislauf Würzburg;Running;26.07.2026;Würzburg;Germany;97082 Würzburg , Viehmarktplatz 1 (unter der Friedensbrücke);;;15 km, 7 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.rocktherace.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/rock-the-race-cross-hindernislauf-wuerzburg/;https://www.runnersworld.de/laufkalender/rock-the-race-cross-hindernislauf-wuerzburg/;unclear;;;2026-06-17;;;
Rats-Run Schleusingen;Running;26.07.2026;Schleusingen;Germany;98553 Schleusingen, Helmut-Kohl-Str. 4 (Henneberg Sporthalle);;;10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.rats-runners.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/rats-run-schleusingen/;https://www.runnersworld.de/laufkalender/rats-run-schleusingen/;unclear;;;2026-06-17;;;
Ironman Lake Placid NY;Running;29.07.2026;Lake Placid;Germany;US NY 12946 Lake Placid, Parkside Drive 31 (Mirror Lake Public Beach);;;Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.ironman.com/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/ironman-lake-placid/;https://www.runnersworld.de/laufkalender/ironman-lake-placid/;unclear;;;2026-06-17;;;
Pitz Alpine Glacier Trail;Ultramarathon;31.07.2026;Mandarfen;Germany;AT 6481 Mandarfen;;;62 km, 105 km, 90 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.pitz-alpine.at/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/pitz-alpine-glacier-trail-mandarfen/;https://www.runnersworld.de/laufkalender/pitz-alpine-glacier-trail-mandarfen/;unclear;;;2026-06-17;;;
