event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;source_url;verification_status;priority;check_frequency;last_checked;next_check;source_note;image
Nordseelauf;Running;24.06.2026;Greetsiel;Germany;26736 Greetsiel;53.4999753;7.0906967;10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.nordseelauf.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/nordseelauf/;https://www.runnersworld.de/laufkalender/nordseelauf/;unclear;;;2026-06-17;;;
Campus Run Berlin;Running;25.06.2026;Berlin;Germany;14195 Berlin, Fabeckstr. 25-25 (Freie Universität Berlin);52.453169;13.291379;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.campusrun-berlin.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/campus-run-berlin/;https://www.runnersworld.de/laufkalender/campus-run-berlin/;unclear;;;2026-06-17;;;
Darmstädter Stadtlauf;Running;24.06.2026;Darmstadt;Germany;64283 Darmstadt, Ludwigsplatz;49.8707068;8.6538272;5 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.darmstadt-laeuft.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/darmstaedterstadtlauf/;https://www.runnersworld.de/laufkalender/darmstaedterstadtlauf/;unclear;;;2026-06-17;;;
IRONMAN NightRun Frankfurt;Running;25.06.2026;Frankfurt;Germany;60311 Frankfurt, Mainkai;50.1093261;8.6837057;10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.ironman.com/im-frankfurt-register;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/ironman-nightrun-frankfurt/;https://www.runnersworld.de/laufkalender/ironman-nightrun-frankfurt/;unclear;;;2026-06-17;;;
Kaiserkrone Trail Scheffau;Running;26.06.2026;Scheffau am Wilden Kaiser;Germany;AT 6351 Scheffau am Wilden Kaiser, Dorf 41;50.121784;8.680719;Half Marathon, 56.1 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.kaiserkrone.run/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/kaiserkrone-trail-scheffau/;https://www.runnersworld.de/laufkalender/kaiserkrone-trail-scheffau/;unclear;;;2026-06-17;;;
Midnight Run Reykjavík 104 Reykjavík 21,1 km, 10 km, 5 km;Running;25.06.2026;IS 104 Reykjavík;Germany;IS 104 Reykjavík;51.1937835;6.4334846;5 km, 10 km, Half Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.marathon.is/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/midnight-run-reykjavik/;https://www.runnersworld.de/laufkalender/midnight-run-reykjavik/;unclear;;;2026-06-17;;;
Altstadtfestlauf Lauf an der Pegnitz;Running;26.06.2026;Lauf an der Pegnitz;Germany;91207 Lauf an der Pegnitz, Friedensplatz 1 (Nürnberger Tor am Marktplatz);49.5114086;11.2789722;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.skiclub-lauf.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/altstadtfestlauf-lauf-an-der-pegnitz/;https://www.runnersworld.de/laufkalender/altstadtfestlauf-lauf-an-der-pegnitz/;unclear;;;2026-06-17;;;
Steinhuder Meer-Triathlon;Running;25.06.2026;Steinhude;Germany;31515 Steinhude, Meerstraße (Strandterassen);52.45276;9.3497397;5 km, Half Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.steinhudermeer-triathlon.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/steinhuder-meer-triathlon/;https://www.runnersworld.de/laufkalender/steinhuder-meer-triathlon/;unclear;;;2026-06-17;;;
Mittsommernachtslauf Hannover;Running;26.06.2026;Hannover;Germany;30167 Hannover, Weddigenufer 23 (HRC Hannover);52.3776053;9.7158975;Half Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.mittsommernachtslauf-hannover.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/mittsommernachtslauf-hannover/;https://www.runnersworld.de/laufkalender/mittsommernachtslauf-hannover/;unclear;;;2026-06-17;;;
Xletix Challenge Tirol;Running;27.06.2026;Kühtai;Germany;AT 6183 Kühtai, Kühtai 10;53.2497728;10.4197721;18 km, 6 km, 12 km;Running event discovered via Runner's World and linked to the official organizer website.;https://de.xletix.com/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/xletix-challenge-tirol/;https://www.runnersworld.de/laufkalender/xletix-challenge-tirol/;unclear;;;2026-06-17;;;
Sauwald Trail Schardenberg;Running;27.06.2026;Schardenberg;Germany;AT 4784 Schardenberg, Steinbrunner Str. 10 (Sportplatz Schardenberg);53.2497728;10.4197721;46 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.sauwaldtrail.at/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/sauwald-trail-schardenberg/;https://www.runnersworld.de/laufkalender/sauwald-trail-schardenberg/;unclear;;;2026-06-17;;;
Stadtlauf Lebach;Running;26.06.2026;Lebach;Germany;66822 Lebach, Poststraße;49.4087809;6.8999606;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.tv-lebach.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/stadtlauf-lebach-i-runner-s-world-laufkalender/;https://www.runnersworld.de/laufkalender/stadtlauf-lebach-i-runner-s-world-laufkalender/;unclear;;;2026-06-17;;;
