event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;source_url;verification_status;priority;check_frequency;last_checked;next_check;source_note;image
Ironman 70.3 Gdynia 81-345 Gdynia 21,1 km;Running;19.07.2026;PL 81-345 Gdynia;Germany;PL 81-345 Gdynia, al. Jana Pawla II 13 (Plaza miejska w Gdyni);;;Half Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.ironman.com/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/ironman-70-3-gdynia/;https://www.runnersworld.de/laufkalender/ironman-70-3-gdynia/;unclear;;;2026-06-17;;;
North Pole Marathon Spitzbergen - Spitzbergen 42,195 km;Ultramarathon;19.07.2026;NO - Spitzbergen;Germany;NO - Spitzbergen;;;Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.npmarathon.com/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/northpolemarathon/;https://www.runnersworld.de/laufkalender/northpolemarathon/;unclear;;;2026-06-17;;;
Muppberg-Trailrun Neustadt;Running;19.07.2026;Neustadt;Germany;96465 Neustadt, Schützenplatz 1 (Familienzentrum);;;10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.alpenverein-neustadt.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/muppberg-trailrun-neustadt/;https://www.runnersworld.de/laufkalender/muppberg-trailrun-neustadt/;unclear;;;2026-06-17;;;
Wild & Run Oberkollbach;Running;22.07.2026;Oberreichenbach;Germany;75394 Oberreichenbach, Müsäcker 1 (Sportplatz SV Oberkollbach);;;7.5 km, 13 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.sportverein-oberkollbach.de/wildandrun/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/wild-and-run-oberkollbach/;https://www.runnersworld.de/laufkalender/wild-and-run-oberkollbach/;unclear;;;2026-06-17;;;
Urban Trail Run München;Running;24.07.2026;München;Germany;80809 München, Hans-Jochen-Vogel-Platz 0 (Olympiapark);;;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.intersport.de/d/content/events/urban-trail-run;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/urban-trail-run-muenchen/;https://www.runnersworld.de/laufkalender/urban-trail-run-muenchen/;unclear;;;2026-06-17;;;
Lauf-Samstag Füssen – Königschlösser Marathon;Running;25.07.2026;Füssen;Germany;87629 Füssen, Kemptener Straße;;;10 km, Half Marathon, Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.laufwochenende-fuessen.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/lauf-samstag-fuessen-koenigschloesser-marathon/;https://www.runnersworld.de/laufkalender/lauf-samstag-fuessen-koenigschloesser-marathon/;unclear;;;2026-06-17;;;
San Francisco-Marathon CA-94107 San Francisco 5 km, 84,4 km;Running;25.07.2026;San Francisco;Germany;US CA-94107 San Francisco , Embarcadero;;;5 km, Marathon, 84.4 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.thesfmarathon.com/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/sanfranciscomarathon/;https://www.runnersworld.de/laufkalender/sanfranciscomarathon/;unclear;;;2026-06-17;;;
Muddy Angel Run Mannheim;Running;25.07.2026;Mannheim;Germany;68163 Mannheim, Xaver-Fuhr-Straße 101 (Maimarkt);;;5 km;Running event discovered via Runner's World and linked to the official organizer website.;https://de.muddyangelrun.com/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/muddy-angel-run-mannheim/;https://www.runnersworld.de/laufkalender/muddy-angel-run-mannheim/;unclear;;;2026-06-17;;;
Blutenburglauf München;Running;26.07.2026;München;Germany;80999 München, Prof.-Eichmann-Str. 11 (Sportanlage des SV Untermenzing);;;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.blutenburglauf.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/blutenburglauf-muenchen/;https://www.runnersworld.de/laufkalender/blutenburglauf-muenchen/;unclear;;;2026-06-17;;;
Rock the Race Cross-Hindernislauf Würzburg;Running;26.07.2026;Würzburg;Germany;97082 Würzburg , Viehmarktplatz 1 (unter der Friedensbrücke);;;15 km, 7 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.rocktherace.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/rock-the-race-cross-hindernislauf-wuerzburg/;https://www.runnersworld.de/laufkalender/rock-the-race-cross-hindernislauf-wuerzburg/;unclear;;;2026-06-17;;;
Rats-Run Schleusingen;Running;26.07.2026;Schleusingen;Germany;98553 Schleusingen, Helmut-Kohl-Str. 4 (Henneberg Sporthalle);;;10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.rats-runners.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/rats-run-schleusingen/;https://www.runnersworld.de/laufkalender/rats-run-schleusingen/;unclear;;;2026-06-17;;;
