event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;source_url;verification_status;priority;check_frequency;last_checked;next_check;source_note;image
Engadin Ultra Trail;Ultramarathon;17.07.2026;Samedan;Germany;CH 7503 Samedan, Promulins 12 (Promulins Arena);;;102 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.engadinultratrail.ch/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/engadin-ultra-trail/;https://www.runnersworld.de/laufkalender/engadin-ultra-trail/;unclear;;;2026-06-17;;;
Muddy Angel Run Berlin;Running;18.07.2026;Berlin;Germany;10318 Berlin, Treskowallee 129 (Trabrennbahn Karlshorst);;;5 km;Running event discovered via Runner's World and linked to the official organizer website.;https://de.muddyangelrun.com/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/muddy-angel-run-berlin/;https://www.runnersworld.de/laufkalender/muddy-angel-run-berlin/;unclear;;;2026-06-17;;;
Stilfserjoch Stelvio Trail Run;Running;18.07.2026;Prad am Stilfserjoch;Germany;IT 39026 Prad am Stilfserjoch, Kreuzweg 4c (aquaprad (Prato Stelvio));;;Half Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.stelviomarathon.it/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/stilfserjoch-stelvio-trail-run/;https://www.runnersworld.de/laufkalender/stilfserjoch-stelvio-trail-run/;unclear;;;2026-06-17;;;
Swissalpine Flims Laax;Running;18.07.2026;Flims;Germany;CH 7018 Flims, Via Prau la Selva 6 (Sportzentrum);;;Marathon, 78.2 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.swissalpine.ch/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/swissalpine-flims-laax/;https://www.runnersworld.de/laufkalender/swissalpine-flims-laax/;unclear;;;2026-06-17;;;
Eiger Ultra Trail Grindelwald;Ultramarathon;18.07.2026;Grindelwald;Germany;CH 3818 Grindelwald, Dorfstrasse 110 (Curlinghalle Sportzentrum );;;101 km, 51 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.eigerultratrail.ch/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/eiger-ultra-trail-grindelwald/;https://www.runnersworld.de/laufkalender/eiger-ultra-trail-grindelwald/;unclear;;;2026-06-17;;;
Hanse-Citylauf Wesel;Running;18.07.2026;Wesel;Germany;46483 Wesel, Dimmerstraße;;;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.hanse-citylauf.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/hanse-citylauf-wesel/;https://www.runnersworld.de/laufkalender/hanse-citylauf-wesel/;unclear;;;2026-06-17;;;
Altmühlseelauf Gunzenhausen;Running;18.07.2026;Gunzenhausen;Germany;91710 Gunzenhausen, Lindermer 100 (Sportplatz SV Unterwurmbach);;;Half Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.altmuehlseelauf.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/altmuehlseelaufgunzenhausen/;https://www.runnersworld.de/laufkalender/altmuehlseelaufgunzenhausen/;unclear;;;2026-06-17;;;
Gletscher Trailrun Obergurgl;Running;18.07.2026;Obergurgl;Germany;AT 6456 Obergurgl, Gurglerstraße 118 (Dorfzentrum);;;Marathon, 61.1 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.oetztal-trailrunning.at/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/gletscher-trailrun-obergurgl/;https://www.runnersworld.de/laufkalender/gletscher-trailrun-obergurgl/;unclear;;;2026-06-17;;;
Xletix Challenge München;Running;18.07.2026;München-Erding;Germany;85435 München-Erding, An der Melkstatt (Freizeit- und Erholungsgebiet am Kronthaler Weiher);;;12 km, 18 km, 6 km;Running event discovered via Runner's World and linked to the official organizer website.;https://de.xletix.com/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/xletix-challenge-muenchen/;https://www.runnersworld.de/laufkalender/xletix-challenge-muenchen/;unclear;;;2026-06-17;;;
Ironman 70.3 Ecuador - Manta 21,1 km;Running;19.07.2026;EC - Manta;Germany;EC - Manta;;;Half Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.ironman.com/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/ironman-70-3-ecuador/;https://www.runnersworld.de/laufkalender/ironman-70-3-ecuador/;unclear;;;2026-06-17;;;
Xletix Kids Berlin;Running;19.07.2026;Berlin;Germany;10318 Berlin, Treskowallee 129 (Trabrennbahn Karlshorst);;;5 km;Running event discovered via Runner's World and linked to the official organizer website.;https://de.xletix.com/kids;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/xletix-kids-berlin/;https://www.runnersworld.de/laufkalender/xletix-kids-berlin/;unclear;;;2026-06-17;;;
