event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;source_url;verification_status;priority;check_frequency;last_checked;next_check;source_note;image
Trail Verbier St-Bernard;Ultramarathon;10.07.2026;Verbier;Germany;CH 1936 Verbier;;;140 km;Running event discovered via Runner's World and linked to the official organizer website.;https://trailvsb.com/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/trail-verbier-st-bernard/;https://www.runnersworld.de/laufkalender/trail-verbier-st-bernard/;unclear;;;2026-06-17;;;
Paznaun-Ischgl Ultra Trail;Ultramarathon;11.07.2026;Ischgl;Germany;AT 6561 Ischgl, Silvrettaplatz 2;;;10 km, Half Marathon, 50 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.paznaun-ischgl.com/de/Live-Info-Events/Top-Events/PIUT;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/paznaun-ischgl-ultra-trail/;https://www.runnersworld.de/laufkalender/paznaun-ischgl-ultra-trail/;unclear;;;2026-06-17;;;
Ironman 70.3 Muncie IN;Running;11.07.2026;Muncie;Germany;US IN 47305 Muncie, S 560 E Rd (Prarie Creek Park);;;Half Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.ironman.com/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/ironman-70-3-muncie/;https://www.runnersworld.de/laufkalender/ironman-70-3-muncie/;unclear;;;2026-06-17;;;
Rosengarten Schlern Skymarathon Tiers;Running;11.07.2026;Tiers;Germany;IT 39050 Tiers, Via S. Giorgio 79 (Start in St. Zyprian);;;Marathon, 46 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.skymarathontiers.it/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/rosengarten-schlern-skymarathon-tiers/;https://www.runnersworld.de/laufkalender/rosengarten-schlern-skymarathon-tiers/;unclear;;;2026-06-17;;;
Gran Trail Courmayeur;Ultramarathon;11.07.2026;Courmayeur;Germany;IT 11013 Courmayeur, Piazza Abbé Henry;;;51 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.gtcourmayeur.com/en/gran-trail-courmayeur/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/gran-trail-courmayeur/;https://www.runnersworld.de/laufkalender/gran-trail-courmayeur/;unclear;;;2026-06-17;;;
Bahnstadtlauf Heidelberg;Running;11.07.2026;Heidelberg;Germany;69115 Heidelberg, Gadamaerplatz 1 (Bahnstadt);;;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://heidelberger-tv.de/bahnstadtlauf/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/bahnstadtlauf-heidelberg/;https://www.runnersworld.de/laufkalender/bahnstadtlauf-heidelberg/;unclear;;;2026-06-17;;;
Wald- und Wiesen Wuidl'n Moosham;Running;12.07.2026;Moosham;Germany;93098 Moosham, Kandlstraße 24 (Start am ehemaligen Sportplatz);;;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https:///%20www.wuidln2026.de;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/wald-und-wiesen-wuidln-moosham/;https://www.runnersworld.de/laufkalender/wald-und-wiesen-wuidln-moosham/;unclear;;;2026-06-17;;;
Ironman 70.3 Luxembourg Remich;Running;12.07.2026;LU Remich 5574;Germany;LU Remich 5574, Place Fernand Kons;;;Half Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.ironman.com/im703-luxembourg;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/ironman-70-3-luxembourg/;https://www.runnersworld.de/laufkalender/ironman-70-3-luxembourg/;unclear;;;2026-06-17;;;
World Triathlon Hamburg;Running;11.07.2026;Hamburg;Germany;20095 Hamburg, Rathausmarkt 1 ( );;;5 km;Running event discovered via Runner's World and linked to the official organizer website.;https://hamburg.triathlon.org/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/triathlon-hamburg/;https://www.runnersworld.de/laufkalender/triathlon-hamburg/;unclear;;;2026-06-17;;;
Steinenberger Waldlauf;Running;12.07.2026;Steinenberg;Germany;73635 Steinenberg;;;Half Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.sportfreunde-steinenberg.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/steinenbergerwaldlauf/;https://www.runnersworld.de/laufkalender/steinenbergerwaldlauf/;unclear;;;2026-06-17;;;
