event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;image
Gutenberg Halbmarathon Mainz;Running;10.05.2026;Mainz;Germany;Mainz, Germany;49.9995205;8.2736253;10 km, Half Marathon;Official local running event in Mainz. Distances: 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.halbmarathon-mainz.de;Kilometerliebe Discovery;
GutsMuths-Rennsteiglauf Marathon;Running;09.05.2026;Schmiedefeld;Germany;Schmiedefeld, Germany;50.5333;11.2167;10 km, Half Marathon, Marathon;Official local running event in Schmiedefeld. Distances: 10 km, Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;http://www.rennsteiglauf.de;Kilometerliebe Discovery;
Hachenburg Löwen Marathon;Running;17.10.2026;Hachenburg;Germany;Hachenburg, Germany;50.6627538;7.8253173;10 km, Half Marathon;Official local running event in Hachenburg. Distances: 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.loewenlauf-hachenburg.de;Kilometerliebe Discovery;
Hagener Volkslauf;Running;14.05.2026;Hagen;Germany;Hagen, Germany;51.3582945;7.473296;10 km, Half Marathon;Official local running event in Hagen. Distances: 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;http://www.concordia-hagen.de;Kilometerliebe Discovery;
Halbmarathon Altötting;Running;20.09.2026;Altötting;Germany;Altötting, Germany;48.2268085;12.6757914;10 km, Half Marathon;Official local running event in Altötting. Distances: 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.halbmarathon.de;Kilometerliebe Discovery;
Halbmarathon Heidelberg;Running;26.04.2026;Heidelberg;Germany;Heidelberg, Germany;49.4093582;8.694724;Half Marathon;Official local running event in Heidelberg. Distances: Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://atoshalbmarathon.tsg78-hd.de;Kilometerliebe Discovery;
Halbmarathon Ingolstadt;Running;09.05.2026;Ingolstadt;Germany;Ingolstadt, Germany;48.7630165;11.4250395;5 km, 10 km, Half Marathon;Official local running event in Ingolstadt. Distances: 5 km, 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.halbmarathon-ingolstadt.net;Kilometerliebe Discovery;
Halbmarathon München;Running;11.04.2026;München;Germany;München, Germany;48.1371079;11.5753822;Half Marathon;Official local running event in München. Distances: Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://halbmarathon-muenchen.de/;Kilometerliebe Discovery;
Hamburger Halbmarathon durch das Alte Land;Running;29.03.2026;Hamburg;Germany;Hamburg, Germany;53.5501721;10.0013165;10 km, Half Marathon;Official local running event in Hamburg. Distances: 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.hntonline.de/hamburger-halbmarathon/;Kilometerliebe Discovery;
ADAC Marathon Hannover;Running;11.04.2027;Hannover;Germany;Hannover, Germany;52.3744779;9.7385532;10 km, Half Marathon, Marathon;Official local running event in Hannover. Distances: 10 km, Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.marathon-hannover.de;Kilometerliebe Discovery;
Haspa Halbmarathon Hamburg;Running;25.04.2027;Hamburg;Germany;Hamburg, Germany;53.5501721;10.0013165;Half Marathon;Official local running event in Hamburg. Distances: Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://haspa-marathon-hamburg.de/halbmarathon/;Kilometerliebe Discovery;
Haspa Marathon Hamburg;Running;26.04.2026;Hamburg;Germany;Hamburg, Germany;53.5501721;10.0013165;Half Marathon, Marathon;Official local running event in Hamburg. Distances: Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://haspa-marathon-hamburg.de/;Kilometerliebe Discovery;
