event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;source_url;verification_status;priority;check_frequency;last_checked;next_check;source_note;image
Traunsee Bergmarathon Gmunden;Ultramarathon;04.07.2026;Gmunden;Germany;AT 4810 Gmunden, Rathausplatz 1;48.237136;9.934623;Marathon, 63 km;Running event discovered via Runner's World and linked to the official organizer website.;https://traunsee-bergmarathon.com/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/traunsee-bergmarathon-gmunden/;https://www.runnersworld.de/laufkalender/traunsee-bergmarathon-gmunden/;unclear;;;2026-06-17;;;
Challenge Roth Triathlon;Running;05.07.2026;Roth;Germany;91154 Roth, Otto-Schrimpff-Straße 14 (Triathlon-Park);49.2428039;11.0945255;Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.challenge-roth.com/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/challenge-roth-triathlon/;https://www.runnersworld.de/laufkalender/challenge-roth-triathlon/;unclear;;;2026-06-17;;;
Ironman 70.3 Muskoka P1H 2K6 Muskoka 21,1 km;Running;05.07.2026;CA P1H 2K6 Muskoka;Germany;CA P1H 2K6 Muskoka;;;Half Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.ironmanmuskoka.com/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/ironman-70-3-muskoka/;https://www.runnersworld.de/laufkalender/ironman-70-3-muskoka/;unclear;;;2026-06-17;;;
Staffelsee-Panoramalauf Murnau;Running;05.07.2026;Murnau;Germany;82418 Murnau, Seestr. 25 (Murnauer Bucht/ Südufer Staffelsee);47.684213;11.185316;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.lgstaffelseemurnau.run/7-staffelseelauf-2025/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/staffelsee-panoramalauf-murnau/;https://www.runnersworld.de/laufkalender/staffelsee-panoramalauf-murnau/;unclear;;;2026-06-17;;;
Kirchweihlauf Neuendettelsau;Running;05.07.2026;Neuendettelsau;Germany;91564 Neuendettelsau, Löhehaus;49.2865466;10.787586;10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://leichtathletik.tsc-neuendettelsau.de/veranstaltungen/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/kirchweihlauf-neuendettelsau/;https://www.runnersworld.de/laufkalender/kirchweihlauf-neuendettelsau/;unclear;;;2026-06-17;;;
Schneekopflauf Schmiedefeld;Running;04.07.2026;Schmiedefeld am Rennsteig;Germany;98694 Schmiedefeld am Rennsteig, Ruppachstraße 1 (Sportplatz);50.6024553;10.8167171;10 km, Half Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://schneekopflauf.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/schneekopflauf-schmiedefeld/;https://www.runnersworld.de/laufkalender/schneekopflauf-schmiedefeld/;unclear;;;2026-06-17;;;
Zermatt-Marathon St. Niklaus;Running;04.07.2026;St. Niklaus;Germany;CH 3924 St. Niklaus, Dorfstrasse 17;52.842824;8.386753;Half Marathon, Marathon, 45.6 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.zermattmarathon.ch/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/zermatt-marathon-st-niklaus/;https://www.runnersworld.de/laufkalender/zermatt-marathon-st-niklaus/;unclear;;;2026-06-17;;;
Stadionlauf Köln;Running;05.07.2026;Köln;Germany;50933 Köln, Aachener Str. 999 (Stadionvorwiesen am RheinEnergieStadion);50.9335055;6.8751167;5 km, 10 km, Half Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.stadionlauf-koeln.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/stadionlaufkoeln/;https://www.runnersworld.de/laufkalender/stadionlaufkoeln/;unclear;;;2026-06-17;;;
City Run Münster;Running;05.07.2026;Münster;Germany;48143 Münster, Prinzipalmarkt (Innenstadt/Höhe Rathaus);51.96133242426577;7.626396022676501;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.zfs-muenster-city-run.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/cityrunmuenster/;https://www.runnersworld.de/laufkalender/cityrunmuenster/;unclear;;;2026-06-17;;;
Tegernsee-Triathlon;Running;05.07.2026;Gmund am See;Germany;83703 Gmund am See, Uferpromenade (Tegernsee/ Seeglas);47.73826;11.7391594;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.tegernsee-triathlon.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/tegernsee-triathlon/;https://www.runnersworld.de/laufkalender/tegernsee-triathlon/;unclear;;;2026-06-17;;;
Panoramalauf Rothenberg;Running;05.07.2026;Oberzent-Rothenberg;Germany;64760 Oberzent-Rothenberg, Landwehrstr. 48 (Sporthalle);48.1364668;11.5574673;5 km, 10 km, Half Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.panorama-lauf.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/panoramalauf-rothenberg/;https://www.runnersworld.de/laufkalender/panoramalauf-rothenberg/;unclear;;;2026-06-17;;;
Eselsburger Tal-Lauf Herbrechtingen;Running;05.07.2026;Herbrechtingen;Germany;89542 Herbrechtingen, Baumschulenweg (Festplatz);48.6226932;10.1761696;5 km, 10 km, Half Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.lauftreff-herbrechtingen.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/eselsburger-tal-lauf-herbrechtingen/;https://www.runnersworld.de/laufkalender/eselsburger-tal-lauf-herbrechtingen/;unclear;;;2026-06-17;;;
Lauf Rund um die Veste Coburg;Running;05.07.2026;Coburg;Germany;96450 Coburg;50.2582226;10.964561;10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.veste-lauf.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/laufrundumdievestecoburg/;https://www.runnersworld.de/laufkalender/laufrundumdievestecoburg/;unclear;;;2026-06-17;;;
