event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;source_url;verification_status;priority;check_frequency;last_checked;next_check;source_note;image
Peachtree Road Race Atlanta GA;Running;04.07.2026;Atlanta;Germany;US GA 30326 Atlanta, 3393 Peachtree Rd (Lenox Square Mall);;;10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.atlantatrackclub.org/peachtree;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/peachtree-road-race-atlanta/;https://www.runnersworld.de/laufkalender/peachtree-road-race-atlanta/;unclear;;;2026-06-17;;;
Stubai Ultratrail Neustift;Ultramarathon;04.07.2026;Neustift;Germany;AT 6167 Neustift, Dorf 1;48.5791354;13.1948733;57 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.stubai.at/ultra-trail/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/stubai-ultratrail-neustift/;https://www.runnersworld.de/laufkalender/stubai-ultratrail-neustift/;unclear;;;2026-06-17;;;
Muddy Angel Run Zürich;Running;04.07.2026;Hüntwangen;Germany;CH 8194 Hüntwangen, Hüntwangerstrasse (Amphitheater );;;5 km;Running event discovered via Runner's World and linked to the official organizer website.;https://de.muddyangelrun.com/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/muddy-angel-run-zuerich/;https://www.runnersworld.de/laufkalender/muddy-angel-run-zuerich/;unclear;;;2026-06-17;;;
Stoos-Trail Ingenbohl-Brunnen;Running;04.07.2026;Ingenbohl-Brunnen;Germany;6440 Ingenbohl-Brunnen (Schule);;;10 km, 46.6 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.stoostrail.ch/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/stoos-trail-ingenbohl-brunnen/;https://www.runnersworld.de/laufkalender/stoos-trail-ingenbohl-brunnen/;unclear;;;2026-06-17;;;
Mittsommerlauf Heitersheim;Running;04.07.2026;Heitersheim;Germany;79423 Heitersheim, Lindenplatz 1;47.872152;7.6599129;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.mittsommerlauf-heitersheim.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/mittsommerlauf-heitersheim/;https://www.runnersworld.de/laufkalender/mittsommerlauf-heitersheim/;unclear;;;2026-06-17;;;
Gold Coast Airport-Marathon QLD;Running;04.07.2026;Southport;Germany;AU QLD 4215 Southport, Gold Coast Hwy / Nerang St;;;5 km, Half Marathon, Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.goldcoastmarathon.com.au/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/gold-coast-airport-marathon/;https://www.runnersworld.de/laufkalender/gold-coast-airport-marathon/;unclear;;;2026-06-17;;;
BobbahnRun Winterberg;Running;04.07.2026;Winterberg;Germany;59955 Winterberg, Kappe 3 (Bobbahn Winterberg, VELTINS-EisArena, Kunsteisbahn);51.1820201;8.5090996;5 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.veltins-eisarena.de/bobbahnrun/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/bobbahn-run-winterberg/;https://www.runnersworld.de/laufkalender/bobbahn-run-winterberg/;unclear;;;2026-06-17;;;
Thüringen Ultra Fröttstädt;Ultramarathon;04.07.2026;Fröttstädt;Germany;99880 Fröttstädt,;50.9343185;10.5724088;100 km, 50 km;Running event discovered via Runner's World and linked to the official organizer website.;https://thueringenultra.de/startseite/index.php;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/thueringen-ultra-froettstaedt/;https://www.runnersworld.de/laufkalender/thueringen-ultra-froettstaedt/;unclear;;;2026-06-17;;;
Bernina Ultraks Pontresina;Ultramarathon;04.07.2026;Pontresina;Germany;CH 7504 Pontresina, Via Maistra 138 (Rondo);;;Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://bernina.ultraks.com/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/bernina-ultraks-pontresina/;https://www.runnersworld.de/laufkalender/bernina-ultraks-pontresina/;unclear;;;2026-06-17;;;
Terra Raetica Trails Tour Festival;Running;04.07.2026;Feichten;Germany;AT 6524 Feichten, Kaunertalstraße 134 (Auf der Dorfstraße);48.758212;8.887488;18 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.terra-raetica-trails.com/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/terra-raetica-trails-tour-festival/;https://www.runnersworld.de/laufkalender/terra-raetica-trails-tour-festival/;unclear;;;2026-06-17;;;
S´Kay Run Erlenbach;Running;04.07.2026;Erlenbach;Germany;74235 Erlenbach, Viktoriaheim 1 (Sportplatz);49.1714845;9.2598297;12 km, 7 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.skayrun.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/skay-run-erlenbach/;https://www.runnersworld.de/laufkalender/skay-run-erlenbach/;unclear;;;2026-06-17;;;
Montafon Totale Trail Silvretta;Running;04.07.2026;Schruns;Germany;AT 6780 Schruns (Alpin Sport Zentrale);51.459378;7.0386;10 km, 47 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.silvretta-montafon.at/de/events-erlebnisse/alle-events;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/montafon-totale-trail-silvretta/;https://www.runnersworld.de/laufkalender/montafon-totale-trail-silvretta/;unclear;;;2026-06-17;;;
