event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;source_url;verification_status;priority;check_frequency;last_checked;next_check;source_note;image
Trail Verbier St-Bernard;Ultramarathon;10.07.2026;Verbier;Germany;CH 1936 Verbier;50.5995659;8.8793986;140 km;Running event discovered via Runner's World and linked to the official organizer website.;https://trailvsb.com/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/trail-verbier-st-bernard/;https://www.runnersworld.de/laufkalender/trail-verbier-st-bernard/;unclear;;;2026-06-17;;;
Paznaun-Ischgl Ultra Trail;Ultramarathon;11.07.2026;Ischgl;Germany;AT 6561 Ischgl, Silvrettaplatz 2;52.482652;13.124356;10 km, Half Marathon, 50 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.paznaun-ischgl.com/de/Live-Info-Events/Top-Events/PIUT;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/paznaun-ischgl-ultra-trail/;https://www.runnersworld.de/laufkalender/paznaun-ischgl-ultra-trail/;unclear;;;2026-06-17;;;
Ironman 70.3 Muncie IN;Running;11.07.2026;Muncie;Germany;US IN 47305 Muncie, S 560 E Rd (Prarie Creek Park);;;Half Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.ironman.com/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/ironman-70-3-muncie/;https://www.runnersworld.de/laufkalender/ironman-70-3-muncie/;unclear;;;2026-06-17;;;
Rosengarten Schlern Skymarathon Tiers;Running;11.07.2026;Tiers;Germany;IT 39050 Tiers, Via S. Giorgio 79 (Start in St. Zyprian);47.7177975;10.8198546;Marathon, 46 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.skymarathontiers.it/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/rosengarten-schlern-skymarathon-tiers/;https://www.runnersworld.de/laufkalender/rosengarten-schlern-skymarathon-tiers/;unclear;;;2026-06-17;;;
Gran Trail Courmayeur;Ultramarathon;11.07.2026;Courmayeur;Germany;IT 11013 Courmayeur, Piazza Abbé Henry;52.5190043;13.409291;51 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.gtcourmayeur.com/en/gran-trail-courmayeur/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/gran-trail-courmayeur/;https://www.runnersworld.de/laufkalender/gran-trail-courmayeur/;unclear;;;2026-06-17;;;
Bahnstadtlauf Heidelberg;Running;11.07.2026;Heidelberg;Germany;69115 Heidelberg, Gadamaerplatz 1 (Bahnstadt);49.40278;8.6661594;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://heidelberger-tv.de/bahnstadtlauf/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/bahnstadtlauf-heidelberg/;https://www.runnersworld.de/laufkalender/bahnstadtlauf-heidelberg/;unclear;;;2026-06-17;;;
Wald- und Wiesen Wuidl'n Moosham;Running;12.07.2026;Moosham;Germany;93098 Moosham, Kandlstraße 24 (Start am ehemaligen Sportplatz);48.9244518;12.2712893;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https:///%20www.wuidln2026.de;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/wald-und-wiesen-wuidln-moosham/;https://www.runnersworld.de/laufkalender/wald-und-wiesen-wuidln-moosham/;unclear;;;2026-06-17;;;
Ironman 70.3 Luxembourg Remich;Running;12.07.2026;LU Remich 5574;Germany;LU Remich 5574, Place Fernand Kons;49.51406;6.367102;Half Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.ironman.com/im703-luxembourg;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/ironman-70-3-luxembourg/;https://www.runnersworld.de/laufkalender/ironman-70-3-luxembourg/;unclear;;;2026-06-17;;;
World Triathlon Hamburg;Running;11.07.2026;Hamburg;Germany;20095 Hamburg, Rathausmarkt 1 ( );53.5503287;9.9925658;5 km;Running event discovered via Runner's World and linked to the official organizer website.;https://hamburg.triathlon.org/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/triathlon-hamburg/;https://www.runnersworld.de/laufkalender/triathlon-hamburg/;unclear;;;2026-06-17;;;
Steinenberger Waldlauf;Running;12.07.2026;Steinenberg;Germany;73635 Steinenberg;48.8597111;9.5499317;Half Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.sportfreunde-steinenberg.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/steinenbergerwaldlauf/;https://www.runnersworld.de/laufkalender/steinenbergerwaldlauf/;unclear;;;2026-06-17;;;
Stadtlauf Fürstenfeldbruck;Running;12.07.2026;Fürstenfeldbruck;Germany;82256 Fürstenfeldbruck, Viehmarktplatz 5 (Stadtmitte);48.1777704;11.2523221;5 km, 10 km, Half Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.hardys-freizeit.de/hardys-stadtlauf-fuerstenfeldbruck-2026;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/stadtlauf-fuerstenfeldbruck/;https://www.runnersworld.de/laufkalender/stadtlauf-fuerstenfeldbruck/;unclear;;;2026-06-17;;;
City Trail Essen;Running;12.07.2026;Essen;Germany;45127 Essen, III. Hagen 43 ( );51.4570387;7.0092077;10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.essen-city-trail.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/city-trail-essen/;https://www.runnersworld.de/laufkalender/city-trail-essen/;unclear;;;2026-06-17;;;
Stadtlauf Düren;Running;12.07.2026;Düren;Germany;52349 Düren, Marktplatz;50.801834;6.48195;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://stadtlauf-dueren.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/stadtlauf-dueren/;https://www.runnersworld.de/laufkalender/stadtlauf-dueren/;unclear;;;2026-06-17;;;
Eiger Ultra Trail Grindelwald;Ultramarathon;15.07.2026;Grindelwald;Germany;CH 3818 Grindelwald, Dorfstrasse 110 (Curlinghalle Sportzentrum );54.680183;8.927426;250 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.eigerultratrail.ch/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/eiger-ultra-trail-grindelwald/;https://www.runnersworld.de/laufkalender/eiger-ultra-trail-grindelwald/;unclear;;;2026-06-17;;;
Sunset Inselpark Hamburg;Running;15.07.2026;Hamburg;Germany;21109 Hamburg, Kurt-Emmerich-Platz (Wilhelmsburger Inselpark);53.491318787479194;10.028390881729488;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.sunset-series.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/sunset-hamburg/;https://www.runnersworld.de/laufkalender/sunset-hamburg/;unclear;;;2026-06-17;;;
Altstadtlauf Reutlingen;Running;17.07.2026;Reutlingen;Germany;72764 Reutlingen, Marktplatz 1 (Startnummernausgabe im Rathaus);48.4917556;9.2118276;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.igl-reutlingen.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/altstadtlaufreutlingen/;https://www.runnersworld.de/laufkalender/altstadtlaufreutlingen/;unclear;;;2026-06-17;;;
Engadin Ultra Trail;Ultramarathon;17.07.2026;Samedan;Germany;CH 7503 Samedan, Promulins 12 (Promulins Arena);48.083493;9.865326;102 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.engadinultratrail.ch/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/engadin-ultra-trail/;https://www.runnersworld.de/laufkalender/engadin-ultra-trail/;unclear;;;2026-06-17;;;
